Domain Code,Domain,Area Code (M49),country,Element Code,element,Item Code (CPC),item,Year Code,year,Months Code,month,unit,value,flag,flag_description,iso3,is_imputed,is_outlier
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01312,Bananas,1995,1995,7021,Annual value,LCU,1224.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01312,Bananas,1996,1996,7021,Annual value,LCU,1022.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01312,Bananas,1997,1997,7021,Annual value,LCU,1085.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01312,Bananas,1998,1998,7021,Annual value,LCU,1033.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01312,Bananas,1999,1999,7021,Annual value,LCU,1183.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01312,Bananas,2000,2000,7021,Annual value,LCU,1105.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01312,Bananas,2001,2001,7021,Annual value,LCU,1140.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01312,Bananas,2002,2002,7021,Annual value,LCU,1326.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01312,Bananas,2003,2003,7021,Annual value,LCU,1215.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01312,Bananas,2004,2004,7021,Annual value,LCU,1110.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01312,Bananas,2005,2005,7021,Annual value,LCU,1231.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01312,Bananas,2006,2006,7021,Annual value,LCU,2298.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01312,Bananas,2007,2007,7021,Annual value,LCU,4034.0,A,Official figure,AUS,False,True
